870,A,200000,S,10012,46
1111,A,200001,S,10001,30
2580,A,200002,B,9995,44
3143,A,200003,S,10005,604
3645,A,200004,B,9995,59
3667,A,200005,S,10000,175
4117,A,200006,B,9990,4
5292,A,200007,B,10000,644
6864,A,200008,S,10006,184
9067,M,200004,B,9998,10
10236,A,200009,B,9992,31
10355,M,200005,S,10001,34
11421,A,200010,B,9996,66
11828,A,200011,S,10012,45
12077,A,200012,B,9999,36
13171,A,200013,B,9996,60
13961,A,200014,S,10002,44
14313,A,200015,B,9990,48
15118,A,200016,S,10018,194
15131,A,200017,S,10015,48
16141,A,200018,B,10001,80
16876,A,200019,S,10001,14
17909,M,200006,B,9996,349
18122,M,200016,S,10015,269
20245,A,200020,B,9990,55
21323,A,200021,S,10003,142
22273,A,200022,S,10007,6
22337,A,200023,B,9993,83
23930,C,200022,S,0,0
26674,A,200024,B,9990,51
26838,A,200025,S,10011,334
27050,A,200026,S,10001,87
28083,A,200027,S,10014,75
29165,C,200001,S,0,0
31077,A,200028,B,9999,52
31187,A,200029,S,10007,46
32910,A,200030,S,10001,9
33262,C,200016,S,0,0
33310,C,200000,S,0,0
34705,A,200031,B,10000,34
36188,C,200012,B,0,0
36295,A,200032,S,10011,35
38069,A,200033,S,10011,454
38782,C,200025,S,0,0
38972,A,200034,S,10001,27
40252,A,200035,S,10002,77
40466,A,200036,B,9997,19
40670,A,200037,B,10001,6
41512,A,200038,S,10001,156
42529,A,200039,S,10003,42
42888,A,200040,B,9994,75
46702,A,200041,S,10008,27
47382,A,200042,B,9990,129
48897,A,200043,S,10007,41
49092,A,200044,S,10002,56
50117,A,200045,S,10002,31
51220,A,200046,B,9996,2
52410,A,200047,B,9999,39
52496,A,200048,B,9993,16
54849,A,200049,B,9991,28
57566,A,200050,S,10003,39
58680,C,200032,S,0,0
64841,M,200031,B,10001,38
68502,A,200051,S,10002,114
68840,A,200052,B,10002,134
70098,A,200053,S,10003,77
70174,A,200054,B,10002,56
70921,C,200035,S,0,0
70999,A,200055,S,10007,12
72358,A,200056,S,10008,28
73411,A,200057,B,9999,59
74072,A,200058,B,9993,58
74766,A,200059,B,10002,118
75845,C,200039,S,0,0
76676,A,200060,B,10000,144
76682,A,200061,B,10002,96
77705,A,200062,B,9994,100
78054,C,200011,S,0,0
80811,C,200002,B,0,0
80940,C,200046,B,0,0
82199,A,200063,S,10003,72
82773,C,200057,B,0,0
83444,C,200034,S,0,0
84307,A,200064,S,10003,9
84596,A,200065,S,10002,50
85381,A,200066,B,10000,43
85612,M,200059,B,10001,25
86515,A,200067,B,9968,8
86551,C,200013,B,0,0
87103,A,200068,S,10001,100
88749,C,200040,B,0,0
88817,A,200069,B,9997,86
89503,A,200070,B,10000,12
90127,A,200071,S,10002,68
90953,A,200072,B,9986,80
95217,A,200073,S,10001,26
98098,M,200043,S,10004,24
99334,C,200019,S,0,0
99497,A,200074,S,10010,63
100933,A,200075,S,10001,31
102926,M,200030,S,10012,26
104165,C,200066,B,0,0
104225,A,200076,S,10001,35
104944,A,200077,S,10007,115
105461,A,200078,B,10001,51
105683,A,200079,S,10016,19
107836,M,200061,B,10000,58
107994,A,200080,B,9998,91
108751,M,200010,B,10000,73
110569,A,200081,B,10000,21
111508,A,200082,B,9990,6
112541,A,200083,B,9997,19
115593,A,200084,B,9996,49
116052,A,200085,B,9984,16
116467,C,200081,B,0,0
117372,M,200058,B,9997,54
118950,A,200086,B,10000,42
119385,A,200087,B,9995,128
120667,A,200088,S,10000,52
121000,A,200089,S,10017,77
122790,A,200090,B,9994,23
123986,A,200091,B,9996,18
125636,C,200067,B,0,0
126812,C,200017,S,0,0
128768,C,200008,S,0,0
129026,C,200051,S,0,0
130650,C,200091,B,0,0
131058,A,200092,B,9999,237
131776,A,200093,B,9996,279
132116,M,200087,B,9992,32
132633,M,200090,B,9999,63
133336,A,200094,S,10001,18
133766,A,200095,S,10003,31
134426,C,200071,S,0,0
135986,A,200096,B,9999,72
137713,C,200060,B,0,0
138109,A,200097,S,10011,187
139810,A,200098,B,9999,125
142324,A,200099,S,10001,68
142327,C,200086,B,0,0
142400,A,200100,S,10002,75
143524,A,200101,S,10008,84
143799,C,200084,B,0,0
144162,C,200089,S,0,0
145812,M,200097,S,10003,12
145989,C,200082,B,0,0
148745,A,200102,S,10003,77
149152,C,200058,B,0,0
149732,A,200103,S,10004,121
151047,A,200104,S,10008,254
152624,A,200105,S,10003,144
153189,M,200009,B,9987,14
153494,A,200106,B,10001,493
153659,A,200107,B,9995,51
154473,A,200108,S,10004,73
155046,A,200109,S,10003,103
155098,A,200110,S,10001,47
158074,A,200111,S,10013,47
159518,A,200112,B,9999,103
160420,M,200088,S,10004,39
163319,A,200113,B,9991,73
164838,A,200114,S,10011,18
166904,C,200094,S,0,0
167073,A,200115,S,10000,90
167349,M,200085,B,9999,32
168598,C,200004,B,0,0
169328,A,200116,S,10001,67
170939,A,200117,S,10005,44
172062,C,200036,B,0,0
172167,M,200077,S,10002,4
172768,A,200118,S,10015,52
174898,A,200119,S,10026,48
175165,A,200120,B,10000,38
176563,M,200015,B,9999,122
180137,A,200121,B,9998,37
181718,A,200122,B,9995,22
182040,A,200123,S,10005,17
182245,C,200080,B,0,0
182983,A,200124,B,9998,9
183254,A,200125,B,9991,14
184602,A,200126,B,9993,315
185997,A,200127,B,9997,221
186452,C,200043,S,0,0
186579,A,200128,S,10004,164
186676,A,200129,B,9996,56
187842,A,200130,S,10002,14
188316,A,200131,S,10002,37
194049,C,200130,S,0,0
194612,A,200132,S,10001,7
194725,A,200133,S,10004,14
195823,A,200134,S,10001,35
196020,A,200135,B,10000,50
198402,A,200136,B,9996,21
198473,A,200137,B,9996,68
200064,A,200138,B,9999,116
200293,A,200139,S,10001,139
200446,A,200140,S,10002,135
202210,A,200141,B,9999,58
203478,A,200142,B,9997,28
204869,A,200143,B,9990,32
206206,M,200064,S,10003,93
207331,A,200144,S,10014,78
207813,C,200119,S,0,0
207891,A,200145,B,9998,46
209417,C,200072,B,0,0
210228,M,200103,S,10009,111
210349,C,200114,S,0,0
210908,A,200146,S,10014,33
213772,A,200147,B,9996,210
214127,C,200095,S,0,0
214565,A,200148,S,10004,44
216737,A,200149,S,10004,62
217162,A,200150,B,9996,113
218340,A,200151,B,10002,69
219970,A,200152,S,10008,65
220269,A,200153,S,10014,155
220339,A,200154,S,10004,64
222064,A,200155,S,10002,123
223748,A,200156,S,10002,175
225839,A,200157,B,10001,155
226069,M,200125,B,9994,34
227449,A,200158,B,10002,330
227844,C,200096,B,0,0
228525,A,200159,S,10022,7
228928,A,200160,B,9997,46
228973,A,200161,S,10004,72
230118,A,200162,B,9997,29
231661,A,200163,B,10001,41
232264,M,200156,S,10009,19
235497,M,200083,B,9995,31
237782,A,200164,S,10016,5
238277,M,200152,S,10009,97
242354,A,200165,S,10002,47
244755,A,200166,B,10000,33
245694,A,200167,S,10007,93
247687,A,200168,S,10013,66
247717,C,200078,B,0,0
247754,A,200169,S,10003,85
248855,A,200170,B,9996,2
249277,A,200171,S,10003,301
249612,C,200031,B,0,0
249691,A,200172,S,10023,121
250295,C,200146,S,0,0
251526,A,200173,B,10002,55
252088,A,200174,B,9999,76
252122,A,200175,B,9999,182
252282,A,200176,S,10004,83
252644,A,200177,S,10003,16
256151,A,200178,B,10001,207
256436,A,200179,B,10002,12
256858,C,200107,B,0,0
257171,A,200180,B,9998,218
258343,A,200181,S,10006,65
259015,M,200124,B,9993,128
259887,A,200182,B,9996,128
259976,C,200135,B,0,0
260130,A,200183,B,9988,26
260527,A,200184,S,10020,116
261126,A,200185,B,10002,17
261694,C,200176,S,0,0
261801,A,200186,S,10007,32
265713,A,200187,S,10005,46
267064,M,200076,S,10009,57
268046,A,200188,B,9995,298
268919,C,200103,S,0,0
271130,M,200118,S,10004,138
275591,A,200189,B,10001,39
275974,A,200190,B,10003,139
277191,A,200191,B,9988,284
279497,A,200192,S,10004,74
280924,A,200193,B,10004,66
281886,A,200194,B,9999,18
282636,C,200104,S,0,0
282655,C,200178,B,0,0
284065,M,200154,S,10009,105
284182,A,200195,B,10001,23
284861,A,200196,B,9999,110
285055,A,200197,B,9987,18
286361,A,200198,B,10002,205
289003,C,200029,S,0,0
292401,A,200199,B,9998,52
292867,A,200200,B,10003,44
294417,A,200201,S,10008,381
294885,A,200202,S,10006,6
296223,A,200203,B,9995,37
298789,A,200204,S,10007,74
300224,C,200181,S,0,0
301985,A,200205,S,10016,85
302306,A,200206,B,10004,59
303244,A,200207,S,10006,162
303825,A,200208,B,10000,397
305086,A,200209,S,10006,33
305423,A,200210,S,10005,40
308581,A,200211,B,9994,147
308684,A,200212,B,9995,227
309996,A,200213,S,10006,47
310655,A,200214,B,10005,118
